,Plot_sentence,query_sentence,0
0,"The three of them meet up at a café they frequent, where we're introduced to other teens they know, such as Alyssa, Dingbat and Egg and Dark's friend Cowboy, and they discuss a party being held that night by a man they know named Jujyfruit.","The bully shows up later, now with a bandaged hand and crosses the sensor, alerting the boy.",n
1,Elvis claims Handjob sold him cut drugs and beats him to death with a can of tomato soup,The father refuses to stop.,n
2,"The two close their eyes but are disturbed, as Montgomery goes into a coughing fit, then explodes into a shower of blood, leaving only a cockroach-like alien who exclaims, ""I'm outta here,"" before crawling out of the window.",The mother then starts saying she saw her mother.,n
3,"The two close their eyes but are disturbed, as Montgomery goes into a coughing fit, then explodes into a shower of blood, leaving only a cockroach-like alien who exclaims, ""I'm outta here,"" before crawling out of the window.",They go off-planet on a ship to complete a job or mission.,n
4,"The group travels the lands in pursuit of the mirror, facing many dangers and challenges in the process, including Virginia's hair being enchanted to an impossible length, pursuit by the Queen's Huntsman, and a conspiracy by the descendants of Little Bo Peep to control a town's wishing well.","the girl they put acid on is seen in a coffee shop, scarred, in the intro and conclusion of the film.
",n
5,"At first, Tony and Virginia are desperate to just get home, while the magic mirror is being taken from place to place around the Kingdoms - being cleared out of the prison, taken as a prize for a sheep-rearing contest, and then sold in an auction.",The curse was that her hair would keep growing and growing.,n
6,"At first, Tony and Virginia are desperate to just get home, while the magic mirror is being taken from place to place around the Kingdoms - being cleared out of the prison, taken as a prize for a sheep-rearing contest, and then sold in an auction.",Her face is badly disfigured.,n
7,"Tony, feeling responsible for Prince, reluctantly accepts, and Virginia and Tony are taken back to the realm through the magic mirror.",The father steps on it.,n
8,"Meanwhile, regular Manhattan inhabitants, headstrong waitress Virginia Lewis and her oafish father Tony are entangled in the mishaps caused by the new magical arrivals to the city, including Wolf falling helplessly in love with Virginia and Tony being given six wishes (which he foolishly uses for personal gain, upon which they have a tendency to backfire).",,n
9,"The group travels the lands in pursuit of the mirror, facing many dangers and challenges in the process, including Virginia's hair being enchanted to an impossible length, pursuit by the Queen's Huntsman, and a conspiracy by the descendants of Little Bo Peep to control a town's wishing well.",She wakes up in a hospital bed surrounded by people.,n
10,"Meanwhile, regular Manhattan inhabitants, headstrong waitress Virginia Lewis and her oafish father Tony are entangled in the mishaps caused by the new magical arrivals to the city, including Wolf falling helplessly in love with Virginia and Tony being given six wishes (which he foolishly uses for personal gain, upon which they have a tendency to backfire).","one night the teenagers took the new kid to a party with them (or somewhere else, I remember it was an event witch bunch of people), it was in someplace that looked like a magasine or something, and suddenly the new kid turned into a giant lizard please help me out, I hope someone has seen it ?",n
11,She turns him into a Golden Retriever while her very own retriever is transformed into a facsimile of Wendell.,they plot murder in this room and the girl seems to be trying to leave her family,n
12,"Tony, feeling responsible for Prince, reluctantly accepts, and Virginia and Tony are taken back to the realm through the magic mirror.","one of the characters younger brother (also teenager) with his girlfriend drove a red cadillack to some hill during the night on one of their dates, I remember they were really fucked up psychos (can’t remember why, maybe they killed someone) 6.",n
13,"Virginia eventually meets the ghost of Snow White, who reveals she is destined to save the Nine Kingdoms.","A piece of wood or cardboard falls when they scuffle and the bully tries to push it forward but the boy stabs the sword through, killing the bully.",n
14,"The group travels the lands in pursuit of the mirror, facing many dangers and challenges in the process, including Virginia's hair being enchanted to an impossible length, pursuit by the Queen's Huntsman, and a conspiracy by the descendants of Little Bo Peep to control a town's wishing well.","Boy is in Africa and likes to play the drum, but is shunned for doing so.",n
15,"Desideria eventually ends up in the desert, where she is saved from the Witches of the Sand by none other than Prince Victor himself",They argue that she was surely dead or now is if she ran into the woods.,n
16,"But her adopted sister who now has black hair, wants the kingdom for herself and puts like an enchantment or something on everyone so she can be hated and she can become queen.",The main character is an ordinary girl/woman I guess who somehow ends up in some world sort of like the “once upon a time” series.,n
17,"Unfortunately, the prince that finally catches her attention is Prince Victor, a rebel prince who has fought against her father and is to be sentenced to death for his treachery",at one point the black kid wants to opt out so gas mask guy stabs him and he dies.,n
18,"Desideria eventually ends up in the desert, where she is saved from the Witches of the Sand by none other than Prince Victor himself. ",The main character is an ordinary girl/woman I guess who somehow ends up in some world sort of like the “once upon a time” series.,n
19," The sensible Helen meets little Susan Collins at the discount market and likes her, so she offers to do the job.",There may have been a telepathic connection between her and the girl.,n
20,"Williams (Karl Taylor), a school jock whom Mark burned earlier in science class, comes to the Collins home out for revenge; ","Another young male is in his room at home, apparently watching deaths online but he can not leave his house.",n
21,,"But at one point, one kid gets trapped under water either under tree branches or under ice (but I'm pretty sure its summer so ice would be odd).",n
22,Mark kills him with a fencing sword.," But unknown to him, the jealous Selvaggia wants to beat her elder sister completely",n
23,,"They live underground in a bright red cave, with plenty of tunnels.",n
24,"Ultimately, Mark himself is killed when Helen, defending herself, knocks him onto his spiked German helmet","Later, there might have been a bar fight.",n
25,,"Anyways, man and woman defeat some big bad, there's a a gun fight on the bridge of a bigger ship.",n
26,"Ultimately, Mark himself is killed when Helen, defending herself, knocks him onto his spiked German helmet",A closeup of the boy's face is seen staring off into space and we realize he is dead.,n
27,"The parents come home and she doesn't respond to them and gets her bike to leave, all the while they're yelling that she drank all the alcohol.",Boy is an adventurer in a strange land where he crawls through a tunnel and gets put in prison.,n
28,"Evelyn puts the blame on Helen and tries to have her arrested, unaware that Mark lies dead upstairs","There may have also been a witch, but maybe not.",n
29,,then the teenagers took a new kid to a party or something and suddenly the new kid turned into a giant lizard what did you mean?,n
30," Secretly, Susan dons her late brother's glasses and proceeds to listen to his Nazi music and the cycle begins anew.","the girl they put acid on is seen in a coffee shop, scarred, in the intro and conclusion of the film.
",n
31,,"When he realizes she's the evil princess, she curses him to be a wolf.",n
32,"Williams (Karl Taylor), a school jock whom Mark burned earlier in science class, comes to the Collins home out for revenge",They put her on the back seat and drive on and keep passing by the same cabin.,n
33," Secretly, Susan dons her late brother's glasses and proceeds to listen to his Nazi music and the cycle begins anew","the way they torture their victims include: making a fat guy chop off a girl's fingers, using a nail shooter thing (like in no country for old men) on a guy's leg and face, and putting a slowly working acid on a girlâ€™s face.",n
34,She throws the necklace in the well and tells the people that the prince was eaten by the wolf of the woods.,Story takes place in a hotel or dormitory type building where the doors are numbered.,n
35,"She is not pleased, and tricks him into transforming in front of her, then steals the gold necklace that will make him turn back into a human.","The girl is taking shelter in that tree and when she wakes up she finds her hair has grown like crazy, like Rapunzel.",n
36,"The younger sister figures out what her sister has done, and exposes her cruel actions.","I don't remember much more, only that the blonde princess goes into the woods and find this scarecrow (I think?)",n
37,The inhabitants of a city made of gold worship a being called the Benefactor who gives them gold in exchange for a human sacrifice of the prettiest women in the land.,some people took the new kid to a party or something or something and suddenly he was looking like a giant lizard please help me please,n
38,One day a stranger arrives at the city and after discovering this sinister act he resolves to break this cycle of killing.,"There was also an owl in the theater, and it looked at the camera and hooted whenever they changed from one play to another.",n
39,The inhabitants of a city made of gold worship a being called the Benefactor who gives them gold in exchange for a human sacrifice of the prettiest women in the land.,"Later, on the same planet, a girl is kidnapped by some aliens.",n
40,One day a stranger arrives at the city and after discovering this sinister act he resolves to break this cycle of killing.,they plot to murder in that room and the girl seems to be trying to escape her family,n
41,"The man is convinced there is a way to stop the Benefactor, however a prophecy says the city will collapse when the Benefactor falls.",Now they might have stopped right then or the daughter had to convince the father to go back but she cracked her head and was dead.,n
42,A young boy who enjoys playing the tam-tam drums every day is chased away by the villagers who believe he is noisy and useless.,"Boy is in Africa and likes to play the drum, but is shunned for doing so.",n
43,The fourth story is set in a village in West Africa.,"so they all retaliate by throwing a party, in disguise, and knocking them all out with chemicals in the punch.",n
44,One day he saves the life of an old man who turns out to be the keeper of the magic drum.,"Years later, when they're both grown up, the princess is beautiful and fell in love?",n
45,"The old man agrees to let the boy play on the precious instrument, but he can not activate its powers until after a long and difficult training.",She was found by someone.,n
46,However the boy is found useful when he is able to play the drum to save his village from invaders.,"Everyone in the diner is disgusted by her appearance (not only her physical appearance, but her presence in the room).",n
47,"While exploring a cave down so far beneath the ground, Tijean finds himself in the land of the dead.","Second, it was about a boy and a girl acting out these a play in an old theater owned by an old man, who may have been their grandfather.",n
48,"Fortunately, Tijean is saved by the three animals whose lives he spared.","Teenagers were wandering around some deserted areas with lots of graffitis and deserted buildings, in one of which there was a club (?)",n
49,"Fortunately, Tijean is saved by the three animals whose lives he spared.",I think she is traveling with a young man and they fall in love.,n
50,"A girl, a boy and an old cinema technician tell stories every night in a small theater.",I think the old woman (witch) is in the window makig this happen.,n
51,"Before each story, the boy and the girl decide, in accordance with the old technician, they will play the characters in the story they will interpret, they also choose a time and a country as well as costumes through documentation the technician brings them, and make clothing and accessories with a computer-controlled machine.",Boy then eventually gets freed by the good princess.,n
52,,"When he realizes she's the evil princess, she curses him to be a wolf.",n
53,"Before each story, the boy and the girl decide, in accordance with the old technician, they will play the characters in the story they will interpret, they also choose a time and a country as well as costumes through documentation the technician brings them, and make clothing and accessories with a computer-controlled machine.","They end up at some weird village which celebrates sheep, they literally dress the sheep and have a parade.",n
54,"Before each story, the boy and the girl decide, in accordance with the old technician, they will play the characters in the story they will interpret, they also choose a time and a country as well as costumes through documentation the technician brings them, and make clothing and accessories with a computer-controlled machine.",someone turns into a giant lizard or a living alien and climbs out the window,n
55,,Then they race back to the planet to save the girl.,n
56,He then takes it upon himself to coerce Jim into committing suicide.,"the way they torture their victims include: making a fat guy chop off a girl's fingers, using a nail shooter thing (like in no country for old men) on a guy's leg and face, and putting a slowly working acid on a girlâ€™s face.",n
57,William becomes darker and more menacing and even begins to watch people commit suicide.,Some broad dusty steps leading to a larger building.,n
58,"Even though they only really communicate through text, they are depicted in an old hotel-like room and actually having contact.","Man with some dark desert garb goes into town, finds a bar.",n
59,Richard hears the scream and immediately runs back to the car,another young man is apparently in his room at home watching deaths online but he can not leave his house,n
60,Frank drives after the hearse,I think I remember a young girl who was tied to a tree in the woods.,n
61,Laura asks to check out the carriage for the missing baby,when they are found by the cops they kill themselves.,n
62,Frank refuses to stop the car,Begins on a distant planet or moon ,n
63,Laura talks about seeing the face of a friend who had died 20 years earlier in the woods,"Boy eventually slays dragon and marries the girl, who was the most beautiful at that time.",n
64,She demands to visit with her departed friend and begins to show signs of insanity,She sits herself down in front of the computer/radio and puts on headphones as the scene freezes and fades out.,n
65,Laura jumps out of the moving vehicle,A man turning into a dog from a curse or spell a witch put on him.,n
66,"Frank accidentally shoots and cracks her skull, leaving her dead",The final scene I remember is some sheep race.,n
67,"Putting her in the back of the car, Frank and Marion continue driving",the story takes place in a hotel or dormitory style building where doors are numbered,n
68,Laura wakes up inside the car,"the way they torture their victims include: making a fat guy chop off a girl's fingers, using a nail shooter thing (like in no country for old men) on a guy's leg and face, and putting a slowly working acid on a girlâ€™s face.",n
69,Richard and Marion rush back to the car but the woman is gone,another young man is apparently watching the death online at home but he can not leave the house,n
70,They think the woman is surely dead since she ran alone into the woods,"Later on at home, the parents are going out and hire an older woman to babysit him and his sister.",n
71,the hearse starts chasing after her,someone turns into a giant lizard or an alien and climbs out the window,n
72,"Marion suddenly awakens in the hospital, heavily bandaged",She starts screaming again that she wants out to search for her son and mother but the father and daughter start doubting the mothers sanity.,n
73,Man claim's to have found the whole family,World full of humans and a few aliens.,n
74,Richard gets killed by the woman with a hook,The son gets killed by a hook on the trees or some naked woman with a hook.,n
75,"Thorpe, dressed in a desert garb makes a living by stealing, enters a bar","The aliens have creepy faces, but otherwise are humanoid.",n
76,he informs Thorpe that he must help him first by applying his thieving skills to steal precious jewels,"Third, to change from one costume to another, they stood on a sort of platform thing.",n
77,"Thorpe and Maggi are nearly caught by the Warlord's henchmen, but they subdue them",He falls on top of the spiked helmet from earlier and crawls away.,n
78,"Sorenson's daughter, Rula, who is a brunette joins the crew",they're plotting murder in the room and the girl seems to be trying to leave her family,n
79,Osiris escapes and finds itself face-to-face with a cloaked planet in deep space,story takes place in a hotel or dormitory type building where the doors are numbered,n
80,"The crew make it back to the Osiris, but Nova is kidnapepd again at the last minute",He also gets help from other monsters he met in the tunnel/cave.,n
81,"cloaked humanoid aliens, a race known only as The Engineers","Boy finds himself in a city of gold, but an evil dragon rules the city.",n
82,The Engineers live underground in a cave inside the volcanic planet,Surface looks like a desert.,n
83,The engineers wear cloaks and are humanoid aliens,The other 3 somehow make it back to the road to their car and quickly get in.,n
84,Engineers are using Nova's mind for their Sublime plenum,,n
85,"they destroy the Sublime Plenum, leaving The Engineers in defeat after a gunfight",story takes place in a hotel or dormitory building where the doors are numbered,n
86,"The Engineers are defeated and they rescue Nova again, this time with success.","Man receives a mission or finds a job, here.",n
87,"It begins on the planet Caliban 5, ruled by none other than Warlord Heenoc Xian","The dragon gives the people gold, but only if they sacrifice the most beautiful maiden to the dragon every month/year.",n
88,Caliban has mostly humans but also some alien species,She gets up and I think they fight a bit more and she pushes him.,n
89,The planet's surface is dry and parched,eventually one of them escapes (a black jock i think) and tries to get help.,n
90,Thorpe goes to the warlord's grand albeit old mansion,The mother notices that the son is missing so she wants to get out of the car to search for him.,n
91,"In high school, Ravi gets bullied by Bradley and Bernard.",It starts out in black and white (more of a grayish tone) at a small restaurant.,n
92,"Emily is taunted and abused by three girls, Heather, Bridget, and Kelli.","Teenagers were wandering around some deserted areas with lots of graffitis and deserted buildings, in one of which there was a club (?)",n
93,"There, Bradley and Bernard insult Ravi in the restroom and break his camera.",its about a group of high school students who are constantly bullied.,n
94,They prepare a costume party at Dane's secluded house and invite the bullies over.,"The camera switches to the mother, she opens her eyes.",n
95,"They lace the punch bowl with a drug, causing everyone who drinks from it to fall unconscious.",Maybe the woman was trying to find her.,n
96,"When the teens wake up, they find themselves chained together.","In one class, a bully teases him and he makes a mixture in a beaker and pours it on the bully's arm.",n
97,Dane obsessed with revenge stabs and kills Ravi.,"Boy finds himself in a city of gold, but an evil dragon rules the city.",n
98,The torture continues with Emily smearing a corrosive compound on Heather's face.,the cop he finds gets killed and there is a quad chase.,n
99,Ravi immobilizes and silences a drug at Bernard and then is tortured with needles by Emily.,at one point the bullies corner 2 guys in the bathroom and break one of their cameras.,n
100,"As Bridget apologizes to Emily, she tells her to cut off Bradley's fingers to spare herself.","Second, it was about a boy and a girl acting out these a play in an old theater owned by an old man, who may have been their grandfather.",n
101,"Ravi secretly gives Kurtis a key, and he escapes.","one of the characters younger brother (also teenager) with his girlfriend drove a red cadillack to some hill during the night on one of their dates, I remember they were really fucked up psychos (can’t remember why, maybe they killed someone) 6.",n
102,"Kurtis grabs his gun, flees to a neighboring house and informs the owner Parker, an elderly war veteran, of the events in Dane's house.",Not sure if they are on vacation or have parents there.,n
103,"Kurtis encounters Deputy Henessey and asks for help, but the Triplets shoot the Deputy.","Boy eventually slays dragon and marries the girl, who was the most beautiful at that time.",n
104,"As the police burst in, Jack kills himself after saying: ""There are more of us out there"".","They are doing something to the kid's mind, as part of a ritual.",n
105,The final scene reveals that Bridget is the disfigured girl from the beginning of the film.,"But at one point, one kid gets trapped under water either under tree branches or under ice (but I'm pretty sure its summer so ice would be odd).",n
106,A disfigured teenage girl enters a restaurant and quickly draws the attention of everyone there.,One part that really sticks out is that she is traveling with some people through the forest and then find themselves at an old ladys house.,n
107,A disfigured teenage girl enters a restaurant and quickly draws the attention of everyone there.,When the father and daughter come back shes gone.,n
108,A disfigured teenage girl enters a restaurant and quickly draws the attention of everyone there.,There was a blonde woman who said something about blood and Satan.,n
109,A disfigured teenage girl enters a restaurant and quickly draws the attention of everyone there.,People seem to be uncomfortable with her being in the room while theyâ€™re trying to eat their meals.,n
110,A disfigured teenage girl enters a restaurant and quickly draws the attention of everyone there.,"Boy gets thrown out of clan/tribe, but saves an old medicine man from a leopard/big cat.",n
111,A disfigured teenage girl enters a restaurant and quickly draws the attention of everyone there.,story takes place in a hotel or dormitory type building where doors are numbered,n
112,A disfigured teenage girl enters a restaurant and quickly draws the attention of everyone there.,I believe there are two kids and they are staying ag this old house in the woods; its a two story house.,n
113,A disfigured teenage girl enters a restaurant and quickly draws the attention of everyone there.,The people in the restaurant also seem to stare at her and whisper about her till a she gets to a point she can't stand anymore.,n
114,A disfigured teenage girl enters a restaurant and quickly draws the attention of everyone there.,,n
115,"She begins crying, and a flashback begins...","A girl walks in with a red hoodie on (the hoodie may be the only thing in color, maybe not).",n
116,"Mrs. Aylwood, the owner of the residence who now lives in the guest house next door, notices that Jan bears a striking resemblance to her daughter, Karen, who disappeared inside an abandoned chapel in the woods thirty years earlier.","Old medicine man teaches boy how to play drum, which ends up healing the sick clan/tribe chief.",n
117,"Ellie, while watching the eclipse from the front yard, suddenly goes into a trance-like state, apparently possessed, and enters the woods.","Above the surface, the aliens wear robes, and look like some type of religious priesthood.",n
118,"Meanwhile, Ellie, while watching the eclipse from the front yard, suddenly goes into a trance-like state, apparently possessed, and enters the woods.","A black car, could have been a Black Volga, is chasing her.",n
119,"Jan decides to recreate the ceremony during the upcoming solar eclipse, hoping it will bring Karen back.","so they all retaliate by throwing a party, in disguise, and knocking them all out with chemicals in the punch.",n
120,"In a voice that is not her own, she explains that an accidental switch took place thirty years ago, in which Karen traded places with an alien presence from an alternate dimension; thus, the Watcher has been haunting the woods since, while Karen has remained suspended in time.","Soon after this girls hair gets ridiculously long, like past her feet.",n
121,"Americans Helen and Paul Curtis and their daughters, Jan and Ellie, move into a manor in rural England.",Everyone in the restaurant seems to recognize her when she walks in.,n
122,"Americans Helen and Paul Curtis and their daughters, Jan and Ellie, move into a manor in rural England.",they are planning the murders in that room and the girl seems to be trying to escape,n
123,"Jan, realizing her sister has disappeared from the yard, goes into the woods to find her, eventually locating her at a pond. ",another young man is apparently watching deaths online but he cannot leave his house,n
124,"In the water, she sees a blue circle of light, and is blinded by a flash, causing her to fall in; she nearly drowns, but Mrs. Aylwood saves her","The plays/plots I remember are as follows : Boy gets put in prison (wrongly accused of stealing a necklace, I think), but gets pitied by a princess and she takes him food/clothing.",n
125,"In a voice that is not her own, she explains that an accidental switch took place thirty years ago, in which Karen traded places with an alien presence from an alternate dimension; thus, the Watcher has been haunting the woods since, while Karen has remained suspended in time.","She stands up and yells something out like â€œIs this what you wantâ€_x009d_ and takes off her hoodie to show her disfigured face, then the opening credits start to roll.
",n
126,"The three of them meet up at a café they frequent, where we're introduced to other teens they know, such as Alyssa, Dingbat and Egg and Dark's friend Cowboy, and they discuss a party being held that night by a man they know named Jujyfruit.",A hand reaches for his glasses and we see the little sister putting them on.,n
127,Elvis claims Handjob sold him cut drugs and beats him to death with a can of tomato soup,The opening scene of the film has a girl with a scarred faced and it's in black and white at a diner.,n
128,"The two close their eyes but are disturbed, as Montgomery goes into a coughing fit, then explodes into a shower of blood, leaving only a cockroach-like alien who exclaims, ""I'm outta here,"" before crawling out of the window.",Mark's parents come home to find the house in shambles; ,n
129,"The two close their eyes but are disturbed, as Montgomery goes into a coughing fit, then explodes into a shower of blood, leaving only a cockroach-like alien who exclaims, ""I'm outta here,"" before crawling out of the window.",The girl ends up in this castle at a ball  and goes up to a room with a mirror.,n
130,"The two close their eyes but are disturbed, as Montgomery goes into a coughing fit, then explodes into a shower of blood, leaving only a cockroach-like alien who exclaims, ""I'm outta here,"" before crawling out of the window.",the plan is to murder the girl and she seems to be trying to leave her family,n
131,"The two close their eyes but are disturbed, as Montgomery goes into a coughing fit, then explodes into a shower of blood, leaving only a cockroach-like alien who exclaims, ""I'm outta here,"" before crawling out of the window.",the good sister is grown up and walking through the desert.,n
132,He then takes it upon himself to coerce Jim into committing suicide.,they're plotting a murder in this room and the girl seems to be trying to get out of family,n
133,He then takes it upon himself to coerce Jim into committing suicide.,Someone turns into a giant lizard or some kind of alien and climbs out the window.,n
134,He then takes it upon himself to coerce Jim into committing suicide.,The drum also makes the clan/tribe unbeatable in battle.,n
135,He then takes it upon himself to coerce Jim into committing suicide.,the story takes place in a hotel or dormitory type building where the doors are numbered,n
136,He then takes it upon himself to coerce Jim into committing suicide.,A bee flies around the head of the correct daughter because he fed the bee earlier in the tunnel.,n
137,He then takes it upon himself to coerce Jim into committing suicide.,,n
138,He then takes it upon himself to coerce Jim into committing suicide.,"Black-haired woman joins his crew, the next day.",n
139,William becomes darker and more menacing and even begins to watch people commit suicide.,She then sits quietly and suddenly jumps out of the car.,n
140,William becomes darker and more menacing and even begins to watch people commit suicide.,they plan the murder in that room and the girl seems to be trying to leave her family,n
141,William becomes darker and more menacing and even begins to watch people commit suicide.,its about a group of high school students who are constantly bullied.,n
142,"Even though they only really communicate through text, they are depicted in an old hotel-like room and actually having contact.",they all wake up chained up.,n
143,"Even though they only really communicate through text, they are depicted in an old hotel-like room and actually having contact.",eventually one of them escapes (a black jock i think) and tries to get help.,n
144,"Even though they only really communicate through text, they are depicted in an old hotel-like room and actually having contact.","It â€œscannedâ€_x009d_ them, and the silhouettes of the clothes they described appeared on their bodies.",n
145,"Even though they only really communicate through text, they are depicted in an old hotel-like room and actually having contact.",They are plotting murder in that room and the girl seems to be trying to leave her family.,n
146,"Even though they only really communicate through text, they are depicted in an old hotel-like room and actually having contact.",,n
